GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0002181,cytoplasmic translation,BP,5.870224804855286e-58,9.445191711012156e-55,"P0ADY3,P0A7M2,P0AG67,P0A7V8,P62399,P0ADY7,P0ADZ0,P0AG44,P0A7T7,P0A7R1,P0A7M9,P0A7N9,P61175,P68919,P0A7L3,P0A7T3,P0AG48,P0A7W7,P60624,P02359,P0A7W1,P0A7K2,P0A7U3,P0A7X3,P0A7L8,P0AA10,P02358,P0A7J3,P60438,P0A7Q1,P0A7M6,P0A7P5,P0C018,P0A7R9,P60422,P0A7K6,P0A7L0,P0A7J7,P0A7N4,P68679,P0ADZ4,P0AG59,P0A7S9,P60723,P0A7Q6,P0A7R5,P0AG55,P0AG51,P02413,P0A7V0",e,6,"(50, 199)","(54, 3138)",{'GO:0006412'}
GO:0006412,translation,BP,4.093515281232021e-43,3.293233043751161e-40,"P0ADY3,P0A7M2,P0AG67,P0A7V8,P62399,P0ADY7,P0ADZ0,P0AG44,P0A7T7,P0A7R1,P0CE47,P0A7M9,P0A7N9,P61175,P68919,P0A7L3,P0A7T3,P0AG48,P0A7W7,P60624,P0CE48,P02359,P0A7W1,P0A7K2,P0A7U3,P0A7X3,P0A7L8,P0AA10,P02358,P0A7J3,P60438,P0A7Q1,P0A7M6,P0A7P5,P0C018,P0A7R9,P0A707,P60422,P0A7K6,P0A7L0,P0A7J7,P0A7N4,P68679,P0ADZ4,P0AG59,P0A7S9,P60723,P0A7Q6,P0A7R5,P0AG55,P0A6M8,P0AG51,P02413,P0A7V0,P0A6P1",e,5,"(55, 199)","(97, 3138)","{'GO:0009059', 'GO:0019538'}"
GO:0000027,ribosomal large subunit assembly,BP,3.363483396205526e-18,1.8039482614982306e-15,"P0A7M2,P62399,P0ADY7,P0ADZ0,P0AG44,P0A7N9,P68919,P0A7L3,P60624,P0A7L8,P60438,P0A7M6,P60422,P0A7K6,P0A7L0,P0A7J7,P0A7N4,P0AG55,P0AG51",e,7,"(19, 199)","(26, 3138)",{'GO:0022618'}
GO:0006935,chemotaxis,BP,1.7005186875062703e-11,6.840336420493973e-09,"P05704,P07017,P0ABX2,P31068,P52612,P02925,P0A9H9,P0ABX8,P0ABW9,P07018,P75938,P23847,P0AE67,P0A964,P09348,P0AEE5",e,3,"(16, 199)","(33, 3138)",{'GO:0042330'}
GO:0000028,ribosomal small subunit assembly,BP,4.0675359285145247e-11,1.308933061795974e-08,"P68679,P0ADZ4,P0A7W7,P0AG59,P0A7T3,P0AG67,P0A7V8,P02359,P0A7W1,P0A7U3,P0A7V0,P0A7X6",e,7,"(12, 199)","(18, 3138)",{'GO:0022618'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,1.0959599908858924e-09,2.9389993755590014e-07,"P25798,P29744,P76010,P0ABX2,P31068,P0AEM6,P52612,P0ABX8,P0ABY2,P0ABW9,P75938,P24216,P09348,P0A7Z4,P26608",e,5,"(15, 199)","(36, 3138)",{'GO:0097588'}
GO:0006099,tricarboxylic acid cycle,BP,7.657888953523101e-09,1.7602204751740955e-06,"P08997,P0AC38,P08200,P69054,P0ABH7,P36683,P0A9G6,P0A836,P0AFG6,P07014,P0A9P0,P61889",e,3,"(12, 199)","(25, 3138)",{'GO:0044238'}
GO:0006754,ATP biosynthetic process,BP,2.825599387894644e-08,5.051543794580536e-06,"P0ABB0,P0ABA6,P52612,P0AB98,P68699,P0A6E6,P0ABB4",e,10,"(7, 199)","(8, 3138)","{'GO:0046034', 'GO:0009206', 'GO:0009152'}"
GO:0015986,proton motive force-driven ATP synthesis,BP,2.825599387894644e-08,5.051543794580536e-06,"P0ABB0,P0ABA6,P52612,P0AB98,P68699,P0A6E6,P0ABB4",e,11,"(7, 199)","(8, 3138)",{'GO:0006754'}
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,4.0157582257934683e-07,6.46135498530169e-05,"P0ABB0,P0ABA6,P0AB98,P68699,P0A6E6,P0ABB4",e,12,"(6, 199)","(7, 3138)",{'GO:0015986'}
GO:0044781,bacterial-type flagellum organization,BP,3.37130161634902e-06,0.0004931294818823249,"P43533,P0A8S9,P0ABY2,P52612,P31068,P0AEM4,P75936,P26608",e,5,"(8, 199)","(17, 3138)","{'GO:0006996', 'GO:0030030'}"
GO:0006417,regulation of translation,BP,9.380168260599998e-06,0.001257724227608783,"P0ADZ4,P0A7W7,P0A7V8,P60723,P36683,P0A7L0,P0ACF8,P0A7J3",e,9,"(8, 199)","(19, 3138)","{'GO:0051246', 'GO:0010608'}"
GO:0017148,negative regulation of translation,BP,7.116175936666535e-05,0.008583871765951075,"P68919,P0A7L3,P02359,P60723,P0AA10,P0A7J3",e,10,"(6, 199)","(13, 3138)","{'GO:0010629', 'GO:0051248', 'GO:0006417'}"
GO:0019402,galactitol metabolic process,BP,7.468875371243944e-05,0.008583871765951075,"P0C8J6,P37188,P0C8J8,P69828",e,7,"(4, 199)","(5, 3138)",{'GO:0006059'}
GO:0009060,aerobic respiration,BP,0.0001416695896641877,0.015196424651311867,"P0ABJ6,P69054,P0AFD6,P0AFF0,P0ABJ1,P13035,P07014",e,6,"(7, 199)","(20, 3138)",{'GO:0045333'}
