GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006935,chemotaxis,BP,4.5499684408020854e-18,7.320899221250556e-15,"P76299,P31068,P52612,P02925,P0A9H9,P0ABX8,P07018,P0ABX5,P0ABX2,P75938,P0ABW9,P0AE67,P0A964,P06974,P05704,P07017,P22586,P0AC05,P23847,P0AEE5,P02942",e,3,"(21, 199)","(33, 3138)",{'GO:0042330'}
GO:0002181,cytoplasmic translation,BP,8.738021943513668e-17,7.029738653556747e-14,"P0A7M2,P0AG67,P0ADY7,P0A7R1,P0A7T7,P0A7M9,P0A7N9,P68919,P0A7L3,P0A7T3,P0AG48,P02359,P0A7K2,P0A7X3,P0A7L8,P0AA10,P0A7J3,P0A7Q1,P0A7P5,P60422,P0A7J7,P68679,P0ADZ4,P0A7Q6,P0A7V0",e,6,"(25, 199)","(54, 3138)",{'GO:0006412'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,2.4988542771275697e-14,1.3402188439660866e-11,"P76299,P31068,P52612,P0ABX8,P26608,P29744,P0ABX5,P76010,P0ABX2,P0ABY2,P75938,P0AEM6,P0ABW9,P75933,P24216,P06974,P25798,P22586,P0AC05",e,5,"(19, 199)","(36, 3138)",{'GO:0097588'}
GO:0006412,translation,BP,3.44799195388512e-14,1.3869547634502896e-11,"P0A7M2,P0AG67,P0ADY7,P0A7R1,P0A7T7,P0CE47,P0A7M9,P0A7N9,P0A8M0,P68919,P0A7L3,P0A7T3,P0AG48,P0CE48,P02359,P0A7K2,P0A7X3,P0A7L8,P0AA10,P0A7J3,P0A7Q1,P0A7P5,P60422,P0A7J7,P68679,P0ADZ4,P0A7Q6,P0A6M8,P0A7V0,P0A6P1",e,5,"(30, 199)","(97, 3138)","{'GO:0009059', 'GO:0019538'}"
GO:0006099,tricarboxylic acid cycle,BP,2.6156799176598893e-11,8.417257975029523e-09,"P08997,P0AC38,P0A9P0,P08200,P69054,P0ABH7,P33940,P36683,P0A9G6,P0A836,P0AFG6,P07014,P0AC33,P61889",e,3,"(14, 199)","(25, 3138)",{'GO:0044238'}
GO:0044781,bacterial-type flagellum organization,BP,4.5136874257876367e-10,1.210420511348718e-07,"P43533,P76299,P22586,P0AC05,P31068,P0AEM4,P52612,P0ABY2,P75936,P75933,P26608",e,5,"(11, 199)","(17, 3138)","{'GO:0006996', 'GO:0030030'}"
GO:0019402,galactitol metabolic process,BP,9.781267275974268e-07,0.00022482941495775139,"P0A9S3,P69828,P0C8J6,P37188,P0C8J8",e,7,"(5, 199)","(5, 3138)",{'GO:0006059'}
GO:0009060,aerobic respiration,BP,1.2654229670841612e-06,0.00024481503116670014,"P0ABI8,P0ABJ6,P69054,P0AFD6,P0AFC7,P0AFF0,P0ABJ1,P13035,P07014",e,6,"(9, 199)","(20, 3138)",{'GO:0045333'}
GO:0006754,ATP biosynthetic process,BP,1.5215353086805477e-06,0.00024481503116670014,"P0ABA6,P52612,P0AB98,P68699,P0A6E6,P0ABB4",e,10,"(6, 199)","(8, 3138)","{'GO:0046034', 'GO:0009206', 'GO:0009152'}"
GO:0015986,proton motive force-driven ATP synthesis,BP,1.5215353086805477e-06,0.00024481503116670014,"P0ABA6,P52612,P0AB98,P68699,P0A6E6,P0ABB4",e,11,"(6, 199)","(8, 3138)",{'GO:0006754'}
GO:0050920,regulation of chemotaxis,BP,1.5720252124565825e-05,0.0022994441516751285,"P0A9H9,P07017,P02942,P0AE67",e,5,"(4, 199)","(4, 3138)","{'GO:0040012', 'GO:0032101'}"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,1.8476798250326046e-05,0.0024774306987312175,"P0ABA6,P0AB98,P68699,P0A6E6,P0ABB4",e,12,"(5, 199)","(7, 3138)",{'GO:0015986'}
GO:0006457,protein folding,BP,6.918831834418974e-05,0.008563384939677022,"P0ABY2,P0A6Y8,P0A6F9,P0A850,P0AG86,P25714,P0A6F5,P09372",e,2,"(8, 199)","(24, 3138)",{'GO:0009987'}
GO:0071978,bacterial-type flagellum-dependent swarming motility,BP,9.726173274141907e-05,0.010031120304869594,"P0ABX5,P75937,P0ABX2,P0ABX8,P0A9H9,P75938,P06974",e,6,"(7, 199)","(19, 3138)",{'GO:0071973'}
GO:0015990,electron transport coupled proton transport,BP,9.975010868732971e-05,0.010031120304869594,"P0ABI8,P0ABJ6,P0AFC7,P0AFF0,P0ABJ1",e,9,"(5, 199)","(9, 3138)",{'GO:0015988'}
GO:0030254,protein secretion by the type III secretion system,BP,9.975010868732971e-05,0.010031120304869594,"P76299,P22586,P0AC05,P31068,P52612",e,8,"(5, 199)","(9, 3138)","{'GO:0009306', 'GO:0071806'}"
GO:0000027,ribosomal large subunit assembly,BP,0.00013157990028578778,0.01245365056234309,"P68919,P0A7L3,P0A7M2,P0A7J7,P0ADY7,P60422,P0A7L8,P0A7N9",e,7,"(8, 199)","(26, 3138)",{'GO:0022618'}
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,0.00018925979511670061,0.016027316333830068,"P22586,P0ABX8,P0A9H9,P0AE67,P06974",e,4,"(5, 199)","(10, 3138)",{'GO:0001539'}
GO:0036386,bacterial nucleoid packaging,BP,0.00025144382862507075,0.018389687284442676,"P0ACF0,P0ACF4,P0ACF8",e,6,"(3, 199)","(3, 3138)",{'GO:0051276'}
GO:0050918,positive chemotaxis,BP,0.00025144382862507075,0.018389687284442676,"P06974,P02925,P23847",e,4,"(3, 199)","(3, 3138)",{'GO:0006935'}
GO:0019404,galactitol catabolic process,BP,0.00025144382862507075,0.018389687284442676,"P0C8J6,P0A9S3,P0C8J8",e,8,"(3, 199)","(3, 3138)","{'GO:0019407', 'GO:0019402'}"
GO:0044780,bacterial-type flagellum assembly,BP,0.00027941555969907597,0.019546940676339705,"P43533,P76299,P52612,P0AEM6,P75933,P33235,P26608",e,7,"(7, 199)","(22, 3138)","{'GO:0140694', 'GO:0044781', 'GO:0030031'}"
GO:0019646,aerobic electron transport chain,BP,0.00032919021923422716,0.02118668250991486,"P0ABI8,P0ABJ6,P69054,P0ABJ1,P07014",e,7,"(5, 199)","(11, 3138)","{'GO:0022904', 'GO:0009060'}"
GO:0006071,glycerol metabolic process,BP,0.00032919021923422716,0.02118668250991486,"P0A6F3,P08194,P13035,P0A9C9,P09394",e,6,"(5, 199)","(11, 3138)",{'GO:0019400'}
GO:0006097,glyoxylate cycle,BP,0.00047221122791094196,0.028140291322544655,"P36683,P0A9G6,P08200,P08997",e,8,"(4, 199)","(7, 3138)","{'GO:0046487', 'GO:0005975'}"
